Nombre	ID	Universidad	ID Universidad	Latitud	Longitud	Dirección	Ciudad	Región	id_region
Juan Gómez Millas	1	Universidad de Chile	1	-33.4659887	-70.5970512	Las Encinas 3305 Ñuñoa	Santiago	IV	4
Casa Central	2	Universidad de Chile	1	-33.4445011	-70.6530677	Av. Libertador Bernardo O'Higgins 1058	Santiago	RM	13
Andrés Bello	3	Universidad de Chile	1	-33.4420871	-70.6389067	Diagonal Paraguay 265, Providencia	Santiago	RM	13
Beauchef	4	Universidad de Chile	1	-33.4577195	-70.6656386	Beauchef 850	Santiago	RM	13
Norte	5	Universidad de Chile	1	-33.4182906	-70.6574318	Santos Dumont 999, Independencia	Santiago	RM	13
Sur	6	Universidad de Chile	1	-33.5720235	-70.6337358	Av. Sta. Rosa 11315, La Pintana	Santiago	RM	13
Sede Alfonso Letelier Llona	7	Universidad de Chile	1	-33.4423248	-70.6643821	Compania 1264	Santiago	RM	13
Casa Central	8	Pontificia Universidad Católica de Chile	2	-33.4411279	-70.642982	Av Libertador Bernardo O'Higgins 340	Santiago	RM	13
Campus San Joaquin	9	Pontificia Universidad Católica de Chile	2	-33.4975795	-70.6144367	Av. Vicuña Mackenna 4860, Macul, La Florida, Región Metropolitana	Santiago	RM	13
Campus Lo Contador	10	Pontificia Universidad Católica de Chile	2	-33.4198806	-70.6197331	El Comendador 1916, Providencia, Región Metropolitana	Santiago	RM	13
Campus Oriente	11	Pontificia Universidad Católica de Chile	2	-33.4469184	-70.5966054	Jaime Guzmán Errázuriz 3300, Providencia, Ñuñoa, Región Metropolitana	Santiago	RM	13
Sede Villarrica	12	Pontificia Universidad Católica de Chile	2	-39.2775072	-72.2276451	O'higgins 501, Villarrica	Villarrica	IX	9
Concepción	13	Universidad de Concepción	3	-36.8294765	-73.0363712	Víctor Lamas 1290	Concepción	VIII	8
Chillán	14	Universidad de Concepción	3	-36.5967539	-72.0870059	Vicente Méndez 595, Chillan	Chillán	VIII	8
Los Ángeles	15	Universidad de Concepción	3	-37.4719549	-72.3463416	Juan Antonio Coloma 0201, Los Angeles	Los Ángeles	VIII	8
Único	16	Universidad de Santiago de Chile	4	-33.4517605	-70.6883202	Av Libertador Bernardo O'Higgins 3363	Santiago	RM	13
Facultad de Ingeniería	17	Universidad de Santiago de Chile	4	-33.4466186	-70.685612	Las Sophoras 165, Santiago, Estación Central	Santiago	RM	13
Facultad Tecnología	18	Universidad de Santiago de Chile	4	-33.4496991	-70.6906295	Avenida Ecuador Nº 3769	Santiago	RM	13
Casa Central Valparaíso	19	Universidad Técnica Federico Santa María	5	-33.0347298	-71.630632	Avenida de, Av. España 1680	Valparaíso	V	5
Santiago San Joaquín	20	Universidad Técnica Federico Santa María	5	-33.4900965	-70.6195396	Vicuña Mackenna 3939, San Joaquín	Santiago	RM	13
Santiago Vitacura	21	Universidad Técnica Federico Santa María	5	-33.3775228	-70.5785255	Sta María 6400, Vitacura	Santiago	RM	13
Campus Viña del Mar	22	Universidad Técnica Federico Santa María	5	-33.0384943	-71.5034038	Av. Federico Santa María 6090, Viña del Mar, Quilpué, 	Valparaíso	V	5
Campus Concepción	23	Universidad Técnica Federico Santa María	5	-36.7849016	-73.0868153	Arteaga Alemparte 943, Hualpen, Talcahuano	Concepción	VIII	8
Casa Central Valparaíso	24	Pontifica Universidad Católica de Valparaíso	6	-33.044407	-71.6069663	Brasil 2950, Valparaíso	Valparaíso	V	5
Campus Quillota	25	Pontifica Universidad Católica de Valparaíso	6	-32.8961158	-71.2115283	Estación Experimental La Palma S/N, San Francisco	Quillota	V	5
Centro Universitario María Teresa Brown de Ariztía. Sausalito PUCV	26	Pontifica Universidad Católica de Valparaíso	6	-33.0127159	-71.5415139	Avenida El Bosque 1290, de, Sausalito, Viña del Mar	Viña del Mar	V	5
Facultad de Agronomía	27	Pontifica Universidad Católica de Valparaíso	6	-32.9702419	-71.4776459	Estación Experimental La Palma S/N, San Francisco, Quillota,	Quillota	V	5
Escuela de Arquitectura y Diseño	28	Pontifica Universidad Católica de Valparaíso	6	-33.0269756	-71.5833577	Manuel Antonio Matta 12, Viña del Mar	Viña del Mar	V	5
Campus Cuaruma	29	Pontifica Universidad Católica de Valparaíso	6	-33.1459996	-71.5743408	Av. Universidad 330, Curauma	Carauma	V	5
Edificio Monseñor Gimpert	30	Pontifica Universidad Católica de Valparaíso	6	-33.0445426	-71.6083638	Brasil 2830	Valparaíso	V	5
Centro Universitario Rafael Ariztía	31	Pontifica Universidad Católica de Valparaíso	6	-33.0445423	-71.6149299	Brasil 2147	Valparaíso	V	5
Edificio Isabel Brown Caces	32	Pontifica Universidad Católica de Valparaíso	6	-33.044407	-71.6080607	Av. Brasil 2141	Valparaíso	V	5
Escuela de Ingeniería	33	Pontifica Universidad Católica de Valparaíso	6	-33.0444067	-71.6146268	Brasil 2085, Valparaíso	Valparaíso	V	5
Campus Isla Teja	34	Universidad Austral de Chile	7	-39.8061227	-73.2527213	Independencia 641	Valdivia	XIV	14
Campus Miraflores	35	Universidad Austral de Chile	7	-39.8331159	-73.2531051	Gral Lagos 2086	Valdivia	XIV	14
Campus Patagonia	36	Universidad Austral de Chile	7	-46.0037184	-73.739856	Coyhaique	Puerto Aysén	XI	11
Sede Puerto Montt	37	Universidad Austral de Chile	7	-41.490943	-72.8987617	Los Pinos s/n Balneario Pelluco	Puerto Montt	X	10
Casa Central	38	Universidad Diego Portales	8	-33.4498654	-70.6638352	Calle Vergara 210,	Santiago	RM	13
Campus Talca	39	Universidad de Talca	9	-35.4041282	-71.6380366	Avda. Lircay s/n	Talca	VII	7
Campus Curicó	40	Universidad de Talca	9	-35.0019129	-71.2322646	Los Niches S/N	Curicó	VII	7
Campus Colchagua	41	Universidad de Talca	9	-34.6493685	-71.3568757	Ramón Sanfurgo 980	Santa Cruz	VI	6
Campus Linares	42	Universidad de Talca	9	-35.8480643	-71.5812311	Oriente 591	Linares	VII	7
Campus Santiago-LBI	43	Universidad de Talca	9	-33.3955292	-70.5712531	Nuestra Señora del Rosario 1120, Vitacura	Santiago	RM	13
Campus Santiago	44	Universidad de Talca	9	-33.4733038	-70.6256205	Sta Elena 2222, San Joaquín	Santiago	RM	13
Campus Peñalolén	45	Universidad Adolfo Ibáñez	10	-33.4894238	-70.5188557	Diagonal Las Torres 2640, Penalolen	Santiago	RM	13
Campus Viña del Mar	46	Universidad Adolfo Ibáñez	10	-33.0194761	-71.5313669	Padre Hurtado 750	Viña del Mar	V	5
Campus Pdte Errázuriz	47	Universidad Adolfo Ibáñez	10	-33.4211063	-70.5939025	Pdte Errázuriz 3485, Las Condes	Santiago	RM	13
Campus Andrés Bello	48	Universidad de la Frontera	11	-38.7499889	-72.6160248	Francisco Salazar 1145	Temuco	IX	9
Campus de La Salud	49	Universidad de la Frontera	11	-38.7379946	-72.6013956	Claro Solar 115	Temuco	IX	9
Campus Malleco	50	Universidad de la Frontera	11	-37.800367	-72.7049327	Bernardo O'Higgins 050	Angol	IX	9
Campus Pucón	51	Universidad de la Frontera	11	-39.273961	-71.9804412	Caupolicán 78	Pucón	IX	9
Campus San Felipe	52	Universidad de Valparaíso	12	-32.741613	-70.7070964	Camino la Troya S/N & El Convento	San Felipe	V	5
Campus Santiago	53	Universidad de Valparaíso	12	-33.2678375	-71.4135955	Gran Avenida Jose Miguel Carrera 4160, San Miguel	Santiago	RM	13
Casa Central	54	Universidad de Valparaíso	12	-33.0440351	-71.619567	Las Heras 6, Valparaíso	Valparaíso	V	5
Facultad de Arquitectura	55	Universidad de Valparaíso	12	-33.0254361	-71.6410661	Av.El Parque 570, Valparaíso	Valparaíso	V	5
Facultad de Farmacia	56	Universidad de Valparaíso	12	-33.0354848	-71.6452996	Gran Bretaña 1093, Playa Ancha	Valparaíso	V	5
Facultad de Medicina	57	Universidad de Valparaíso	12	-33.0479658	-71.6216779	Hontaneda 2653	Valparaíso	V	5
Casa Central	58	Universidad de los Andes	13	-33.4040492	-70.5104538	Monseñor Álvaro del Portillo 12455, Las Condes	Santiago	RM	13
Campus San Carlos de Apoquindo	59	Universidad de los Andes	13	-33.4064949	-70.5062274	San Carlos de Apoquindo 2858	Santiago	RM	13
Casa Central	60	Universidad Andrés Bello	14	-33.4265335	-70.6213217	Bellavista 121, Recoleta	Santiago	RM	13
Campus Antonio Varas	61	Universidad Andrés Bello	14	-33.4265335	-70.6213217	Antonio Varas 810, Providencia	Santiago	RM	13
Compus Los Leones	62	Universidad Andrés Bello	14	-33.4265335	-70.6213217	Los Leones 767, Providencia	Santiago	RM	13
Campus Concepción	63	Universidad Andrés Bello	14	-36.7798405	-73.0782774	Autopista Concepción - Talcahuano 7100	Concepción	VIII	8
Campus Viña del Mar	64	Universidad Andrés Bello	14	-33.0119654	-71.5425675	Quillota 980	Viña del Mar	V	5
Campus Casona de las Condes	65	Universidad Andrés Bello	14	-33.3750169	-70.5072958	Fernández Concha 700, Las Condes	Santiago	RM	13
Campus República 	66	Universidad Andrés Bello	14	-33.4515796	-70.6701066	Av. República 237	Santiago	RM	13
Casa Central Antofagasta	67	Universidad Católica del Norte	15	-23.680637	-70.412455	Av. Angamos 0610	Antofagasta	II	2
Campus Guayacán Coquimbo	68	Universidad Católica del Norte	15	-29.9646306	-71.349669	Calle Larrondo 1281	Coquimbo	IV	4
Casa Central	69	Universidad de Tarapacá	16	-20.2137304	-70.1550115	Avda Anibal Pinto 595	Iquique	I	1
Campus Azapa	70	Universidad de Tarapacá	16	-18.5215741	-70.1803605	Valle Azapa S/N	Arica	XV	15
Campus Velásquez	71	Universidad de Tarapacá	16	-18.4751045	-70.3158859	Calle Velasquez 1775	Arica	XV	15
Campus Saucache	72	Universidad de Tarapacá	16	-18.4882867	-70.2958921	18 de Septiembre 2222, Arica	Arica	XV	15
Campus Concepción	73	Universidad del Bío-Bío	17	-36.8227808	-73.0136946	Av. Casilla 5-C, Collao 1202	Concepción	VIII	8
Campus Chillán	74	Universidad del Bío-Bío	17	-36.6024529	-72.0770209	Andrés Bello 720, Chillan	Chillán	VIII	8
Campus Concepción	75	Universidad del Desarrollo	18	-36.8215405	-73.0391608	Ainavillo 456	Concepción	VIII	8
Campus Las Condes	76	Universidad del Desarrollo	18	-33.3718975	-70.524775	Av. Las Condes 12587, Lo Barnechea	Santiago	RM	13
Sede Santiago Campus Rector Ernesto Silva Bafalluy	77	Universidad del Desarrollo	18	-33.3905243	-70.5004115	Av La Plaza 680, Las Condes	Santiago	RM	13
Campus Unico	78	Universidad Alberto Hurtado	19	-33.44598	-70.6626374	Almirante Barroso 10	Santiago	RM	13
Campus Andrés Bello	79	Universidad de La Serena	20	-29.9129628	-71.243723	Raúl Bitrán 1305	La Serena	IV	4
Campus Coquimbo	80	Universidad de La Serena	20	-29.9608784	-71.3499111	Avda Matta 147	Coquimbo	IV	4
Campus Enrique Molina Garmendia	81	Universidad de La Serena	20	-29.9086429	-71.2553986	Amunátegui, S/N.	La Serena	IV	4
Campus Ignacio Domeyko	82	Universidad de La Serena	20	-29.9086438	-71.2488325	Benavente 980	La Serena	IV	4
Campus Isabel Bongard	83	Universidad de La Serena	20	-29.9086438	-71.2488325	Amunátegui 851, La Serena	Coquimbo	IV	4
Campus Coloso	84	Universidad de Antofagasta	21	-29.9086438	-71.2488325	Av. Universidad de Antofagasta	Antofagasta	II	2
Campus Angamos	85	Universidad de Antofagasta	21	-23.6691073	-70.4075826	Av. Angamos 601	Antofagasta	II	2
Campus Menchaca Lira	86	Universidad Católica de Temuco	22	-38.7360738	-72.6097284	Av. Alemania 0422	Temuco	IX	9
Campus San Francisco	87	Universidad Católica de Temuco	22	-38.7369081	-72.6032963	Manuel Montt 56	Temuco	IX	9
Campus San Juan Pablo II	88	Universidad Católica de Temuco	22	-38.7038137	-72.553544	Rudecindo Ortega 2950	Temuco	IX	9
Casa Central	89	Universidad Católica del Maule	23	-35.4354218	-71.6221885	Av. San Miguel 3605	Talca	VII	7
