Nombre	ID	Universidad	ID Universidad	Latitud	Longitud	Dirección	Ciudad	Región	id_region
Juan Gómez Millas	1	Universidad de Chile	1	-334.659.887	-705.970.512	Las Encinas 3305 Ñuñoa	Santiago	IV	4
Casa Central	2	Universidad de Chile	1	-334.445.011	-706.530.677	Av. Libertador Bernardo O'Higgins 1058	Santiago	RM	13
Andrés Bello	3	Universidad de Chile	1	-334.420.871	-706.389.067	Diagonal Paraguay 265, Providencia	Santiago	RM	13
Beauchef	4	Universidad de Chile	1	-334.577.195	-706.656.386	Beauchef 850	Santiago	RM	13
Norte	5	Universidad de Chile	1	-334.182.906	-706.574.318	Santos Dumont 999, Independencia	Santiago	RM	13
Sur	6	Universidad de Chile	1	-335.720.235	-706.337.358	Av. Sta. Rosa 11315, La Pintana	Santiago	RM	13
Sede Alfonso Letelier Llona	7	Universidad de Chile	1	-334.423.248	-706.643.821	Compania 1264	Santiago	RM	13
Casa Central	8	Pontificia Universidad Católica de Chile	2	-334.411.279	-70.642.982	Av Libertador Bernardo O'Higgins 340	Santiago	RM	13
Campus San Joaquin	9	Pontificia Universidad Católica de Chile	2	-334.975.795	-706.144.367	Av. Vicuña Mackenna 4860, Macul, La Florida, Región Metropolitana	Santiago	RM	13
Campus Lo Contador	10	Pontificia Universidad Católica de Chile	2	-334.198.806	-706.197.331	El Comendador 1916, Providencia, Región Metropolitana	Santiago	RM	13
Campus Oriente	11	Pontificia Universidad Católica de Chile	2	-334.469.184	-705.966.054	Jaime Guzmán Errázuriz 3300, Providencia, Ñuñoa, Región Metropolitana	Santiago	RM	13
Sede Villarrica	12	Pontificia Universidad Católica de Chile	2	-392.775.072	-722.276.451	O'higgins 501, Villarrica	Villarrica	IX	9
Concepción	13	Universidad de Concepción	3	-368.294.765	-730.363.712	Víctor Lamas 1290	Concepción	VIII	8
Chillán	14	Universidad de Concepción	3	-365.967.539	-720.870.059	Vicente Méndez 595, Chillan	Chillán	VIII	8
Los Ángeles	15	Universidad de Concepción	3	-374.719.549	-723.463.416	Juan Antonio Coloma 0201, Los Angeles	Los Ángeles	VIII	8
Único	16	Universidad de Santiago de Chile	4	-334.517.605	-706.883.202	Av Libertador Bernardo O'Higgins 3363	Santiago	RM	13
Facultad de Ingeniería	17	Universidad de Santiago de Chile	4	-334.466.186	-70.685.612	Las Sophoras 165, Santiago, Estación Central	Santiago	RM	13
Facultad Tecnología	18	Universidad de Santiago de Chile	4	-334.496.991	-706.906.295	Avenida Ecuador Nº 3769	Santiago	RM	13
Casa Central Valparaíso	19	Universidad Técnica Federico Santa María	5	-330.347.298	-71.630.632	Avenida de, Av. España 1680	Valparaíso	V	5
Santiago San Joaquín	20	Universidad Técnica Federico Santa María	5	-334.900.965	-706.195.396	Vicuña Mackenna 3939, San Joaquín	Santiago	RM	13
Santiago Vitacura	21	Universidad Técnica Federico Santa María	5	-333.775.228	-705.785.255	Sta María 6400, Vitacura	Santiago	RM	13
Campus Viña del Mar	22	Universidad Técnica Federico Santa María	5	-330.384.943	-715.034.038	Av. Federico Santa María 6090, Viña del Mar, Quilpué, 	Valparaíso	V	5
Campus Concepción	23	Universidad Técnica Federico Santa María	5	-367.849.016	-730.868.153	Arteaga Alemparte 943, Hualpen, Talcahuano	Concepción	VIII	8
Casa Central Valparaíso	24	Pontifica Universidad Católica de Valparaíso	6	-33.044.407	-716.069.663	Brasil 2950, Valparaíso	Valparaíso	V	5
Campus Quillota	25	Pontifica Universidad Católica de Valparaíso	6	-328.961.158	-712.115.283	Estación Experimental La Palma S/N, San Francisco	Quillota	V	5
Centro Universitario María Teresa Brown de Ariztía. Sausalito PUCV	26	Pontifica Universidad Católica de Valparaíso	6	-330.127.159	-715.415.139	Avenida El Bosque 1290, de, Sausalito, Viña del Mar	Viña del Mar	V	5
Facultad de Agronomía	27	Pontifica Universidad Católica de Valparaíso	6	-329.702.419	-714.776.459	Estación Experimental La Palma S/N, San Francisco, Quillota,	Quillota	V	5
Escuela de Arquitectura y Diseño	28	Pontifica Universidad Católica de Valparaíso	6	-330.269.756	-715.833.577	Manuel Antonio Matta 12, Viña del Mar	Viña del Mar	V	5
Campus Cuaruma	29	Pontifica Universidad Católica de Valparaíso	6	-331.459.996	-715.743.408	Av. Universidad 330, Curauma	Carauma	V	5
Edificio Monseñor Gimpert	30	Pontifica Universidad Católica de Valparaíso	6	-330.445.426	-716.083.638	Brasil 2830	Valparaíso	V	5
Centro Universitario Rafael Ariztía	31	Pontifica Universidad Católica de Valparaíso	6	-330.445.423	-716.149.299	Brasil 2147	Valparaíso	V	5
Edificio Isabel Brown Caces	32	Pontifica Universidad Católica de Valparaíso	6	-33.044.407	-716.080.607	Av. Brasil 2141	Valparaíso	V	5
Escuela de Ingeniería	33	Pontifica Universidad Católica de Valparaíso	6	-330.444.067	-716.146.268	Brasil 2085, Valparaíso	Valparaíso	V	5
Campus Isla Teja	34	Universidad Austral de Chile	7	-398.061.227	-732.527.213	Independencia 641	Valdivia	XIV	14
Campus Miraflores	35	Universidad Austral de Chile	7	-398.331.159	-732.531.051	Gral Lagos 2086	Valdivia	XIV	14
Campus Patagonia	36	Universidad Austral de Chile	7	-460.037.184	-73.739.856	Coyhaique	Puerto Aysén	XI	11
Sede Puerto Montt	37	Universidad Austral de Chile	7	-41.490.943	-728.987.617	Los Pinos s/n Balneario Pelluco	Puerto Montt	X	10
Casa Central	38	Universidad Diego Portales	8	-334.498.654	-706.638.352	Calle Vergara 210,	Santiago	RM	13
Campus Talca	39	Universidad de Talca	9	-354.041.282	-716.380.366	Avda. Lircay s/n	Talca	VII	7
Campus Curicó	40	Universidad de Talca	9	-350.019.129	-712.322.646	Los Niches S/N	Curicó	VII	7
Campus Colchagua	41	Universidad de Talca	9	-346.493.685	-713.568.757	Ramón Sanfurgo 980	Santa Cruz	VI	6
Campus Linares	42	Universidad de Talca	9	-358.480.643	-715.812.311	Oriente 591	Linares	VII	7
Campus Santiago-LBI	43	Universidad de Talca	9	-333.955.292	-705.712.531	Nuestra Señora del Rosario 1120, Vitacura	Santiago	RM	13
Campus Santiago	44	Universidad de Talca	9	-334.733.038	-706.256.205	Sta Elena 2222, San Joaquín	Santiago	RM	13
Campus Peñalolén	45	Universidad Adolfo Ibáñez	10	-334.894.238	-705.188.557	Diagonal Las Torres 2640, Penalolen	Santiago	RM	13
Campus Viña del Mar	46	Universidad Adolfo Ibáñez	10	-330.194.761	-715.313.669	Padre Hurtado 750	Viña del Mar	V	5
Campus Pdte Errázuriz	47	Universidad Adolfo Ibáñez	10	-334.211.063	-705.939.025	Pdte Errázuriz 3485, Las Condes	Santiago	RM	13
Campus Andrés Bello	48	Universidad de la Frontera	11	-387.499.889	-726.160.248	Francisco Salazar 1145	Temuco	IX	9
Campus de La Salud	49	Universidad de la Frontera	11	-387.379.946	-726.013.956	Claro Solar 115	Temuco	IX	9
Campus Malleco	50	Universidad de la Frontera	11	-37.800.367	-727.049.327	Bernardo O'Higgins 050	Angol	IX	9
Campus Pucón	51	Universidad de la Frontera	11	-39.273.961	-719.804.412	Caupolicán 78	Pucón	IX	9
Campus San Felipe	52	Universidad de Valparaíso	12	-32.741.613	-707.070.964	Camino la Troya S/N & El Convento	San Felipe	V	5
Campus Santiago	53	Universidad de Valparaíso	12	-332.678.375	-714.135.955	Gran Avenida Jose Miguel Carrera 4160, San Miguel	Santiago	RM	13
Casa Central	54	Universidad de Valparaíso	12	-330.440.351	-71.619.567	Las Heras 6, Valparaíso	Valparaíso	V	5
Facultad de Arquitectura	55	Universidad de Valparaíso	12	-330.254.361	-716.410.661	Av.El Parque 570, Valparaíso	Valparaíso	V	5
Facultad de Farmacia	56	Universidad de Valparaíso	12	-330.354.848	-716.452.996	Gran Bretaña 1093, Playa Ancha	Valparaíso	V	5
Facultad de Medicina	57	Universidad de Valparaíso	12	-330.479.658	-716.216.779	Hontaneda 2653	Valparaíso	V	5
Casa Central	58	Universidad de los Andes	13	-334.040.492	-705.104.538	Monseñor Álvaro del Portillo 12455, Las Condes	Santiago	RM	13
Campus San Carlos de Apoquindo	59	Universidad de los Andes	13	-334.064.949	-705.062.274	San Carlos de Apoquindo 2858	Santiago	RM	13
Casa Central	60	Universidad Andrés Bello	14	-334.265.335	-706.213.217	Bellavista 121, Recoleta	Santiago	RM	13
Campus Antonio Varas	61	Universidad Andrés Bello	14	-334.265.335	-706.213.217	Antonio Varas 810, Providencia	Santiago	RM	13
Compus Los Leones	62	Universidad Andrés Bello	14	-334.265.335	-706.213.217	Los Leones 767, Providencia	Santiago	RM	13
Campus Concepción	63	Universidad Andrés Bello	14	-367.798.405	-730.782.774	Autopista Concepción - Talcahuano 7100	Concepción	VIII	8
Campus Viña del Mar	64	Universidad Andrés Bello	14	-330.119.654	-715.425.675	Quillota 980	Viña del Mar	V	5
Campus Casona de las Condes	65	Universidad Andrés Bello	14	-333.750.169	-705.072.958	Fernández Concha 700, Las Condes	Santiago	RM	13
Campus República 	66	Universidad Andrés Bello	14	-334.515.796	-706.701.066	Av. República 237	Santiago	RM	13
Casa Central Antofagasta	67	Universidad Católica del Norte	15	-23.680.637	-70.412.455	Av. Angamos 0610	Antofagasta	II	2
Campus Guayacán Coquimbo	68	Universidad Católica del Norte	15	-299.646.306	-71.349.669	Calle Larrondo 1281	Coquimbo	IV	4
Casa Central	69	Universidad de Tarapacá	16	-202.137.304	-701.550.115	Avda Anibal Pinto 595	Iquique	I	1
Campus Azapa	70	Universidad de Tarapacá	16	-185.215.741	-701.803.605	Valle Azapa S/N	Arica	XV	15
Campus Velásquez	71	Universidad de Tarapacá	16	-184.751.045	-703.158.859	Calle Velasquez 1775	Arica	XV	15
Campus Saucache	72	Universidad de Tarapacá	16	-184.882.867	-702.958.921	18 de Septiembre 2222, Arica	Arica	XV	15
Campus Concepción	73	Universidad del Bío-Bío	17	-368.227.808	-730.136.946	Av. Casilla 5-C, Collao 1202	Concepción	VIII	8
Campus Chillán	74	Universidad del Bío-Bío	17	-366.024.529	-720.770.209	Andrés Bello 720, Chillan	Chillán	VIII	8
Campus Concepción	75	Universidad del Desarrollo	18	-368.215.405	-730.391.608	Ainavillo 456	Concepción	VIII	8
Campus Las Condes	76	Universidad del Desarrollo	18	-333.718.975	-70.524.775	Av. Las Condes 12587, Lo Barnechea	Santiago	RM	13
Sede Santiago Campus Rector Ernesto Silva Bafalluy	77	Universidad del Desarrollo	18	-333.905.243	-705.004.115	Av La Plaza 680, Las Condes	Santiago	RM	13
Campus Unico	78	Universidad Alberto Hurtado	19	-3.344.598	-706.626.374	Almirante Barroso 10	Santiago	RM	13
Campus Andrés Bello	79	Universidad de La Serena	20	-299.129.628	-71.243.723	Raúl Bitrán 1305	La Serena	IV	4
Campus Coquimbo	80	Universidad de La Serena	20	-299.608.784	-713.499.111	Avda Matta 147	Coquimbo	IV	4
Campus Enrique Molina Garmendia	81	Universidad de La Serena	20	-299.086.429	-712.553.986	Amunátegui, S/N.	La Serena	IV	4
Campus Ignacio Domeyko	82	Universidad de La Serena	20	-299.086.438	-712.488.325	Benavente 980	La Serena	IV	4
Campus Isabel Bongard	83	Universidad de La Serena	20	-299.086.438	-712.488.325	Amunátegui 851, La Serena	Coquimbo	IV	4
Campus Coloso	84	Universidad de Antofagasta	21	-299.086.438	-712.488.325	Av. Universidad de Antofagasta	Antofagasta	II	2
Campus Angamos	85	Universidad de Antofagasta	21	-236.691.073	-704.075.826	Av. Angamos 601	Antofagasta	II	2
Campus Menchaca Lira	86	Universidad Católica de Temuco	22	-387.360.738	-726.097.284	Av. Alemania 0422	Temuco	IX	9
Campus San Francisco	87	Universidad Católica de Temuco	22	-387.369.081	-726.032.963	Manuel Montt 56	Temuco	IX	9
Campus San Juan Pablo II	88	Universidad Católica de Temuco	22	-387.038.137	-72.553.544	Rudecindo Ortega 2950	Temuco	IX	9
Casa Central	89	Universidad Católica del Maule	23	-354.354.218	-716.221.885	Av. San Miguel 3605	Talca	VII	7
