ciudad,region,region_id
Iquique,Tarapacá,1
Alto Hospicio,Tarapacá,1
Pozo Almonte,Tarapacá,1
Camiña,Tarapacá,1
Colchane,Tarapacá,1
Huara,Tarapacá,1
Pica,Tarapacá,1
Antofagasta,Antofagasta,2
Mejillones,Antofagasta,2
Sierra Gorda,Antofagasta,2
Taltal,Antofagasta,2
Calama,Antofagasta,2
Ollagüe,Antofagasta,2
San Pedro de Atacama,Antofagasta,2
Tocopilla,Antofagasta,2
María Elena,Antofagasta,2
Copiapó,Atacama,3
Caldera,Atacama,3
Tierra Amarilla,Atacama,3
Chañaral,Atacama,3
Diego de Almagro,Atacama,3
Vallenar,Atacama,3
Alto del Carmen,Atacama,3
Freirina,Atacama,3
Huasco,Atacama,3
La Serena,Coquimbo,4
Coquimbo,Coquimbo,4
Andacollo,Coquimbo,4
La Higuera,Coquimbo,4
Paihuano,Coquimbo,4
Vicuña,Coquimbo,4
Illapel,Coquimbo,4
Canela,Coquimbo,4
Los Vilos,Coquimbo,4
Salamanca,Coquimbo,4
Ovalle,Coquimbo,4
Combarbalá,Coquimbo,4
Monte Patria,Coquimbo,4
Punitaqui,Coquimbo,4
Río Hurtado,Coquimbo,4
Valparaíso,Valparaíso,5
Casablanca,Valparaíso,5
Concón,Valparaíso,5
Juan Fernández,Valparaíso,5
Puchuncaví,Valparaíso,5
Quintero,Valparaíso,5
Viña del Mar,Valparaíso,5
Isla de Pascua,Valparaíso,5
Los Andes,Valparaíso,5
Calle Larga,Valparaíso,5
Rinconada,Valparaíso,5
San Esteban,Valparaíso,5
La Ligua,Valparaíso,5
Cabildo,Valparaíso,5
Papudo,Valparaíso,5
Petorca,Valparaíso,5
Zapallar,Valparaíso,5
Quillota,Valparaíso,5
La Calera,Valparaíso,5
Hijuelas,Valparaíso,5
La Cruz,Valparaíso,5
Nogales,Valparaíso,5
San Antonio,Valparaíso,5
Algarrobo,Valparaíso,5
Cartagena,Valparaíso,5
El Quisco,Valparaíso,5
El Tabo,Valparaíso,5
Santo Domingo,Valparaíso,5
San Felipe,Valparaíso,5
Catemu,Valparaíso,5
Llay Llay,Valparaíso,5
Panquehue,Valparaíso,5
Putaendo,Valparaíso,5
Santa María,Valparaíso,5
Quilpué,Valparaíso,5
Limache,Valparaíso,5
Olmué,Valparaíso,5
Villa Alemana,Valparaíso,5
Rancagua,Región del Libertador Gral. Bernardo O'Higgins,6
Codegua,Región del Libertador Gral. Bernardo O'Higgins,6
Coinco,Región del Libertador Gral. Bernardo O'Higgins,6
Coltauco,Región del Libertador Gral. Bernardo O'Higgins,6
Doñihue,Región del Libertador Gral. Bernardo O'Higgins,6
Graneros,Región del Libertador Gral. Bernardo O'Higgins,6
Las Cabras,Región del Libertador Gral. Bernardo O'Higgins,6
Machalí,Región del Libertador Gral. Bernardo O'Higgins,6
Malloa,Región del Libertador Gral. Bernardo O'Higgins,6
Mostazal,Región del Libertador Gral. Bernardo O'Higgins,6
Olivar,Región del Libertador Gral. Bernardo O'Higgins,6
Peumo,Región del Libertador Gral. Bernardo O'Higgins,6
Pichidegua,Región del Libertador Gral. Bernardo O'Higgins,6
Quinta de Tilcoco,Región del Libertador Gral. Bernardo O'Higgins,6
Rengo,Región del Libertador Gral. Bernardo O'Higgins,6
Requínoa,Región del Libertador Gral. Bernardo O'Higgins,6
San Vicente,Región del Libertador Gral. Bernardo O'Higgins,6
Pichilemu,Región del Libertador Gral. Bernardo O'Higgins,6
La Estrella,Región del Libertador Gral. Bernardo O'Higgins,6
Litueche,Región del Libertador Gral. Bernardo O'Higgins,6
Marchihue,Región del Libertador Gral. Bernardo O'Higgins,6
Navidad,Región del Libertador Gral. Bernardo O'Higgins,6
Paredones,Región del Libertador Gral. Bernardo O'Higgins,6
San Fernando,Región del Libertador Gral. Bernardo O'Higgins,6
Chépica,Región del Libertador Gral. Bernardo O'Higgins,6
Chimbarongo,Región del Libertador Gral. Bernardo O'Higgins,6
Lolol,Región del Libertador Gral. Bernardo O'Higgins,6
Nancagua,Región del Libertador Gral. Bernardo O'Higgins,6
Palmilla,Región del Libertador Gral. Bernardo O'Higgins,6
Peralillo,Región del Libertador Gral. Bernardo O'Higgins,6
Placilla,Región del Libertador Gral. Bernardo O'Higgins,6
Pumanque,Región del Libertador Gral. Bernardo O'Higgins,6
Santa Cruz,Región del Libertador Gral. Bernardo O'Higgins,6
Talca,Región del Maule,7
Constitución,Región del Maule,7
Curepto,Región del Maule,7
Empedrado,Región del Maule,7
Maule,Región del Maule,7
Pelarco,Región del Maule,7
Pencahue,Región del Maule,7
Río Claro,Región del Maule,7
San Clemente,Región del Maule,7
San Rafael,Región del Maule,7
Cauquenes,Región del Maule,7
Chanco,Región del Maule,7
Pelluhue,Región del Maule,7
Curicó,Región del Maule,7
Hualañé,Región del Maule,7
Licantén,Región del Maule,7
Molina,Región del Maule,7
Rauco,Región del Maule,7
Romeral,Región del Maule,7
Sagrada Familia,Región del Maule,7
Teno,Región del Maule,7
Vichuquén,Región del Maule,7
Linares,Región del Maule,7
Colbún,Región del Maule,7
Longaví,Región del Maule,7
Parral,Región del Maule,7
Retiro,Región del Maule,7
San Javier,Región del Maule,7
Villa Alegre,Región del Maule,7
Yerbas Buenas,Región del Maule,7
Concepción,Región del Biobío,8
Coronel,Región del Biobío,8
Chiguayante,Región del Biobío,8
Florida,Región del Biobío,8
Hualqui,Región del Biobío,8
Lota,Región del Biobío,8
Penco,Región del Biobío,8
San Pedro de la Paz,Región del Biobío,8
Santa Juana,Región del Biobío,8
Talcahuano,Región del Biobío,8
Tomé,Región del Biobío,8
Hualpén,Región del Biobío,8
Lebu,Región del Biobío,8
Arauco,Región del Biobío,8
Cañete,Región del Biobío,8
Contulmo,Región del Biobío,8
Curanilahue,Región del Biobío,8
Los Álamos,Región del Biobío,8
Tirúa,Región del Biobío,8
Los Ángeles,Región del Biobío,8
Antuco,Región del Biobío,8
Cabrero,Región del Biobío,8
Laja,Región del Biobío,8
Mulchén,Región del Biobío,8
Nacimiento,Región del Biobío,8
Negrete,Región del Biobío,8
Quilaco,Región del Biobío,8
Quilleco,Región del Biobío,8
San Rosendo,Región del Biobío,8
Santa Bárbara,Región del Biobío,8
Tucapel,Región del Biobío,8
Yumbel,Región del Biobío,8
Alto Biobío,Región del Biobío,8
Chillán,Región del Biobío,8
Bulnes,Región del Biobío,8
Cobquecura,Región del Biobío,8
Coelemu,Región del Biobío,8
