title	id	description
Universidad de Chile	1	La Universidad de Chile es una institución de educación superior de carácter nacional y pública, que asume con compromiso y vocación de excelencia la formación de personas y la contribución al desarrollo espiritual y material de la Nación, construyendo liderazgo en el desarrollo innovador de las ciencias y las tecnologías, las humanidades y las artes, a través de sus funciones de docencia, creación y extensión, con especial énfasis en la investigación y el postgrado. En el ejercicio de dichas funciones promueve el ejercicio de una ciudadanía preparada, crítica, con conciencia social y responsabilidad ética, de acuerdo a los valores de tolerancia, pluralismo y equidad, independencia intelectual y libertad de pensamiento, así como también del respeto, promoción y preservación de la diversidad en todos los ámbitos de su quehacer.
Pontificia Universidad Católica de Chile	2	La Pontificia Universidad Católica de Chile fue fundada el 21 de junio de 1888 por iniciativa del Arzobispo de Santiago, Monseñor Mariano Casanova, con el objetivo de ser una institución que integrara la excelencia académica y una formación inspirada en la doctrina cristiana. Su creación se inserta en las circunstancias históricas universales y locales que afectaron a la Iglesia Católica, instándola a formar profesionales poseedores de un auténtico sentido cristiano de la vida, que sirviera como fermento renovador para las nuevas generaciones.
Universidad de Concepción	3	"La idea de fundar la Universidad de Concepción era una antigua aspiración de los penquistas. Desde el siglo pasado, insignes rectores del Liceo de Concepción abogaban por la creación de carreras profesionales bajo la tutela de ese plantel. Esta idea que contaba con gran apoyo dentro de la sociedad penquista, no se había podido concretar principalmente, por la falta de organización ""de todas las personas que así pensaban"", señala un artículo del diario El Sur, de febrero de 1917."
Universidad de Santiago de Chile	4	Tiene sus raíces en la Escuela de Artes y Oficios, fundada en 1848 bajo el gobierno de Manuel Bulnes. En 1947 se fundó como Universidad Técnica del Estado, con diversas sedes a lo largo del país. Posteriormente, en 1981 y como consecuencia de la reforma de la educación superior impulsada durante el Régimen Militar, la casa central de la UTE se convirtió en la actual Universidad de Santiago de Chile, con todas sus actividades centradas en un campus único de 340 000 m² ubicado en la comuna de Estación Central, en Santiago de Chile.
Universidad Técnica Federico Santa María	5	La Universidad se funda a partir de la voluntad testamentaria del filántropo, visionario y emprendedor Federico Santa María Carrera, quién legó su fortuna para dotar al país de una institución que entregue una formación humana, científica y profesional centrada en principios y valores universales, liderando en la enseñanza de la ingeniería, ciencia y tecnología. Crear y difundir nuevo conocimiento, y formar integralmente profesionales idóneos en el ámbito científico - tecnológico, para liderar el desarrollo del país y la humanidad.
Pontifica Universidad Católica de Valparaíso	6	La Pontificia Universidad Católica de Valparaíso (PUCV), también llamada Universidad Católica de Valparaíso(UCV), es una universidad tradicional y privada de Chile, perteneciente al Consejo de Rectores de las Universidades Chilenas, a la Agrupación de Universidades Regionales de Chile y a la Red Universitaria G9. Es además una universidad católica pontificia, que depende directamente de la Santa Sede y del Obispado de Valparaíso. Es reconocida como una entidad de alto prestigio académico, así como una institución universitaria compleja por su alto desarrollo formativo e investigativo en las ciencias, las humanidades y las artes.
Universidad Austral de Chile	7	La Universidad Austral de Chile es una universidad tradicional privada chilena, con asiento en la sureña ciudad de Valdivia, Chile. Fue fundada en 1954, obteniendo personalidad jurídica mediante el Decreto Supremo Nº 3.757, de 7 de septiembre del mismo año, «como respuesta a la impostergable necesidad de contar con una institución de educación superior universitaria en el sur del país». Pertenece a la Red Universitaria Cruz del Sur, a la Agrupación de Universidades Regionales de Chile,​ al Consejo de Rectores de las Universidades Chilenas,​ y a la Red Universitaria.
Universidad Diego Portales	8	La Universidad Diego Portales, también conocida como UDP, es una universidad privada chilena, fundada en Santiago de Chile en 1982 y bautizada en honor al político y comerciante chileno Diego Portales. La Universidad Diego Portales está adscrita al sistema único de admisión de las universidades del Consejo de Rectores (CRUCH). Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de cinco años (de un máximo de 7), desde octubre de 2013 hasta octubre de 2018, en todas las áreas obligatorias más las áreas electivas de investigación y vinculación con el medio.​ Figura como la 6.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y en el 9.º lugar según el ranking de AméricaEconomía 2016. Está, además, entre las once universidades chilenas que figuran en la Clasificación mundial de universidades QS 2016, entre las diez que figuran en el ránking del Times Higher Education 2016, y entre las 22 universidades chilenas que aparecen en el ránking de Scimago Institution Rankings (SIR) 2016, con el 16.° lugar a nivel nacional, y 652.° a nivel mundial.
Universidad de Talca	9	La Universidad de Talca es una universidad estatal chilena, con sede en la ciudad de Talca, Región del Maule. Es miembro de la Agrupación de Universidades Regionales de Chile, y una de las dieciséis universidades del Consorcio de Universidades del Estado de Chile, la cual pertenece al Consejo de Rectores de las Universidades Chilenas. Su Casa Central se encuentra en Talca, Chile. capital de la VII Región, distante a 250 kilómetros al sur de Santiago.
Universidad Adolfo Ibáñez	10	La Universidad Adolfo Ibáñez es una comunidad académica, sin fines de lucro, nacida de la Escuela de Negocios de Valparaíso. Fue creada en 1953 por la Fundación Adolfo Ibáñez, depositaria del legado del empresario y hombre público, don Adolfo Ibáñez Boggiano, y constituida como universidad en 1988. Nuestro compromiso con la libertad se traduce en una formación que promueve la autonomía de las personas para adoptar sus propias decisiones en forma responsable, asumiendo las consecuencias de sus acciones y juicios, para responder, con pleno respeto a las ideas divergentes, de manera racional y éticamente fundada.
